时段,上车人数,下车人数,净增加人数,地铁内人数（时段结束时）
00:00-00:09,24,24,0,0
00:10-00:19,15,15,0,0
00:20-00:29,2,30,-28,-28
00:30-00:39,1,2,-1,-29
00:40-00:49,4,7,-3,-32
00:50-00:59,2,4,-2,-34
01:00-01:09,0,0,0,-34
01:10-01:19,0,0,0,-34
01:20-01:29,0,0,0,-34
01:30-01:39,0,0,0,-34
01:40-01:49,0,0,0,-34
01:50-01:59,0,0,0,-34
02:00-02:09,0,0,0,-34
02:10-02:19,0,0,0,-34
02:20-02:29,0,0,0,-34
02:30-02:39,0,0,0,-34
02:40-02:49,0,0,0,-34
02:50-02:59,0,0,0,-34
03:00-03:09,0,0,0,-34
03:10-03:19,0,0,0,-34
03:20-03:29,0,0,0,-34
03:30-03:39,0,0,0,-34
03:40-03:49,0,0,0,-34
03:50-03:59,0,0,0,-34
04:00-04:09,4,4,0,-34
04:10-04:19,7,1,6,-28
04:20-04:29,7,2,5,-23
04:30-04:39,30,7,23,0
04:40-04:49,100,15,85,85
04:50-04:59,959,68,891,976
05:00-05:09,1364,100,1264,2240
05:10-05:19,2193,167,2026,4266
05:20-05:29,3264,476,2788,7054
05:30-05:39,4626,957,3669,10723
05:40-05:49,6293,1364,4929,15652
05:50-05:59,9144,1841,7303,22955
06:00-06:09,12710,3207,9503,32458
06:10-06:19,17617,4626,12991,45449
06:20-06:29,24883,6293,18590,64039
06:30-06:39,35821,9144,26677,90716
06:40-06:49,49371,12710,36661,127377
06:50-06:59,66324,19539,46785,174162
07:00-07:09,80234,28354,51880,226042
07:10-07:19,99494,37471,62023,288065
07:20-07:29,117143,49371,67772,355837
07:30-07:39,132826,66324,66502,422339
07:40-07:49,150181,79615,70566,492905
07:50-07:59,156542,96006,60536,553441
08:00-08:09,152502,131174,21328,574769
08:10-08:19,146843,146843,0,574769
08:20-08:29,131174,136690,-5516,569253
08:30-08:39,116646,152502,-35856,533397
08:40-08:49,104159,156542,-52383,481014
08:50-08:59,92891,150181,-57290,423724
09:00-09:09,81207,132826,-51619,372105
09:10-09:19,72830,127365,-54535,317570
09:20-09:29,62309,100153,-37844,279726
09:30-09:39,51926,89470,-37544,242182
09:40-09:49,43397,81207,-37810,204372
09:50-09:59,37471,67447,-29976,174396
10:00-10:09,33661,49584,-15923,158473
10:10-10:19,30869,43397,-12528,145945
10:20-10:29,29690,38117,-8427,137518
10:30-10:39,28016,34232,-6216,131302
10:40-10:49,26859,32192,-5333,125969
10:50-10:59,26048,30504,-4456,121513
11:00-11:09,25984,27934,-1950,119563
11:10-11:19,25924,27100,-1176,118387
